,filename,title,author,task 1,task 2,task 3,github,stars
852,Qi_ImVoteNet_Boosting_3D_Object_Detection_in_Point_Clouds_With_Image_CVPR_2020_paper,ImVoteNet: Boosting 3D Object Detection in Point Clouds With Image Votes,Charles R. Qi,,,,,
853,Liu_Understanding_Road_Layout_From_Videos_as_a_Whole_CVPR_2020_paper,Understanding Road Layout From Videos as a Whole,Buyu Liu,,,,,
854,Hu_Bi-Directional_Relationship_Inferring_Network_for_Referring_Image_Segmentation_CVPR_2020_paper,Bi-Directional Relationship Inferring Network for Referring Image Segmentation,Zhiwei Hu,,,,,
855,Li_Perspective_Plane_Program_Induction_From_a_Single_Image_CVPR_2020_paper,Perspective Plane Program Induction From a Single Image,Yikai Li,,,,,
856,Wang_DeepFLASH_An_Efficient_Network_for_Learning-Based_Medical_Image_Registration_CVPR_2020_paper,DeepFLASH: An Efficient Network for Learning-Based Medical Image Registration,Jian Wang,,,,,
857,Liu_Semantic_Correspondence_as_an_Optimal_Transport_Problem_CVPR_2020_paper,Semantic Correspondence as an Optimal Transport Problem,Yanbin Liu,,,,,
858,Fosco_How_Much_Time_Do_You_Have_Modeling_Multi-Duration_Saliency_CVPR_2020_paper,How Much Time Do You Have? Modeling Multi-Duration Saliency,Camilo Fosco,,,,,
859,Huynh_Fine-Grained_Generalized_Zero-Shot_Learning_via_Dense_Attribute-Based_Attention_CVPR_2020_paper,Fine-Grained Generalized Zero-Shot Learning via Dense Attribute-Based Attention,Dat Huynh,,,,,
860,Zhang_Online_Depth_Learning_Against_Forgetting_in_Monocular_Videos_CVPR_2020_paper,Online Depth Learning Against Forgetting in Monocular Videos,Zhenyu Zhang,,,,,
861,Wang_Few-Shot_Learning_of_Part-Specific_Probability_Space_for_3D_Shape_Segmentation_CVPR_2020_paper,Few-Shot Learning of Part-Specific Probability Space for 3D Shape Segmentation,Lingjing Wang,,,,,
862,Zhou_Pattern-Structure_Diffusion_for_Multi-Task_Learning_CVPR_2020_paper,Pattern-Structure Diffusion for Multi-Task Learning,Ling Zhou,,,,,
863,Wang_Training_Noise-Robust_Deep_Neural_Networks_via_Meta-Learning_CVPR_2020_paper,Training Noise-Robust Deep Neural Networks via Meta-Learning,Zhen Wang,,,,,
864,Kundu_Universal_Source-Free_Domain_Adaptation_CVPR_2020_paper,Universal Source-Free Domain Adaptation,Jogendra Nath Kundu,,,,,
865,Dudhane_Varicolored_Image_De-Hazing_CVPR_2020_paper,Varicolored Image De-Hazing,Akshay Dudhane,,,,,
866,Shi_SpSequenceNet_Semantic_Segmentation_Network_on_4D_Point_Clouds_CVPR_2020_paper,SpSequenceNet: Semantic Segmentation Network on 4D Point Clouds,Hanyu Shi,,,,,
867,Sandhan_Separating_Particulate_Matter_From_a_Single_Microscopic_Image_CVPR_2020_paper,Separating Particulate Matter From a Single Microscopic Image,Tushar Sandhan,,,,,
868,Bai_Adaptive_Dilated_Network_With_Self-Correction_Supervision_for_Counting_CVPR_2020_paper,Adaptive Dilated Network With Self-Correction Supervision for Counting,Shuai Bai,,,,,
869,Zhou_Learning_to_Select_Base_Classes_for_Few-Shot_Classification_CVPR_2020_paper,Learning to Select Base Classes for Few-Shot Classification,Linjun Zhou,,,,,
870,Tosi_Distilled_Semantics_for_Comprehensive_Scene_Understanding_from_Videos_CVPR_2020_paper,Distilled Semantics for Comprehensive Scene Understanding from Videos,Fabio Tosi,,,,,
871,Kim_Modeling_Biological_Immunity_to_Adversarial_Examples_CVPR_2020_paper,Modeling Biological Immunity to Adversarial Examples,Edward Kim,,,,,
872,Islam_DOA-GAN_Dual-Order_Attentive_Generative_Adversarial_Network_for_Image_Copy-Move_Forgery_CVPR_2020_paper,DOA-GAN: Dual-Order Attentive Generative Adversarial Network for Image Copy-Move Forgery Detection and Localization,Ashraful Islam,,,,,
873,Weiss_Correspondence-Free_Material_Reconstruction_using_Sparse_Surface_Constraints_CVPR_2020_paper,Correspondence-Free Material Reconstruction using Sparse Surface Constraints,Sebastian Weiss,,,,,
874,Mathew_Augmenting_Colonoscopy_Using_Extended_and_Directional_CycleGAN_for_Lossy_Image_CVPR_2020_paper,Augmenting Colonoscopy Using Extended and Directional CycleGAN for Lossy Image Translation,Shawn Mathew,,,,,
875,Jiang_Attention_Scaling_for_Crowd_Counting_CVPR_2020_paper,Attention Scaling for Crowd Counting,Xiaoheng Jiang,,,,,
876,Guo_A_Spatiotemporal_Volumetric_Interpolation_Network_for_4D_Dynamic_Medical_Image_CVPR_2020_paper,A Spatiotemporal Volumetric Interpolation Network for 4D Dynamic Medical Image,Yuyu Guo,,,,,
877,Gupta_PatchVAE_Learning_Local_Latent_Codes_for_Recognition_CVPR_2020_paper,PatchVAE: Learning Local Latent Codes for Recognition,Kamal Gupta,,,,,
878,Johnston_Self-Supervised_Monocular_Trained_Depth_Estimation_Using_Self-Attention_and_Discrete_Disparity_CVPR_2020_paper,Self-Supervised Monocular Trained Depth Estimation Using Self-Attention and Discrete Disparity Volume,Adrian Johnston,,,,,
879,Tsiami_STAViS_Spatio-Temporal_AudioVisual_Saliency_Network_CVPR_2020_paper,STAViS: Spatio-Temporal AudioVisual Saliency Network,Antigoni Tsiami,,,,,
880,Bhattacharjee_DUNIT_Detection-Based_Unsupervised_Image-to-Image_Translation_CVPR_2020_paper,DUNIT: Detection-Based Unsupervised Image-to-Image Translation,Deblina Bhattacharjee,,,,,
881,Dolhasz_Learning_to_Observe_Approximating_Human_Perceptual_Thresholds_for_Detection_of_CVPR_2020_paper,Learning to Observe: Approximating Human Perceptual Thresholds for Detection of Suprathreshold Image Transformations,Alan Dolhasz,,,,,
882,Lee_Structure_Boundary_Preserving_Segmentation_for_Medical_Image_With_Ambiguous_Boundary_CVPR_2020_paper,Structure Boundary Preserving Segmentation for Medical Image With Ambiguous Boundary,Hong Joo Lee,,,,,
883,Lu_Predicting_Cognitive_Declines_Using_Longitudinally_Enriched_Representations_for_Imaging_Biomarkers_CVPR_2020_paper,Predicting Cognitive Declines Using Longitudinally Enriched Representations for Imaging Biomarkers,Lyujian Lu,,,,,
884,Zhao_Predicting_Lymph_Node_Metastasis_Using_Histopathological_Images_Based_on_Multiple_CVPR_2020_paper,Predicting Lymph Node Metastasis Using Histopathological Images Based on Multiple Instance Learning With Deep Graph Convolution,Yu Zhao,,,,,
885,Genova_Local_Deep_Implicit_Functions_for_3D_Shape_CVPR_2020_paper,Local Deep Implicit Functions for 3D Shape,Kyle Genova,,,,,
886,Weder_RoutedFusion_Learning_Real-Time_Depth_Map_Fusion_CVPR_2020_paper,RoutedFusion: Learning Real-Time Depth Map Fusion,Silvan Weder,,,,,
887,Li_Learning_to_Optimize_Non-Rigid_Tracking_CVPR_2020_paper,Learning to Optimize Non-Rigid Tracking,Yang Li,,,,,
888,Fontan_Information-Driven_Direct_RGB-D_Odometry_CVPR_2020_paper,Information-Driven Direct RGB-D Odometry,Alejandro Fontan,,,,,
889,Zhu_ReDAReinforced_Differentiable_Attribute_for_3D_Face_Reconstruction_CVPR_2020_paper,ReDA:Reinforced Differentiable Attribute for 3D Face Reconstruction,Wenbin Zhu,,,,,
890,Xu_EventCap_Monocular_3D_Capture_of_High-Speed_Human_Motions_Using_an_CVPR_2020_paper,EventCap: Monocular 3D Capture of High-Speed Human Motions Using an Event Camera,Lan Xu,,,,,
891,Abrevaya_Cross-Modal_Deep_Face_Normals_With_Deactivable_Skip_Connections_CVPR_2020_paper,Cross-Modal Deep Face Normals With Deactivable Skip Connections,Victoria Fernandez Abrevaya,,,,,
892,Kulon_Weakly-Supervised_Mesh-Convolutional_Hand_Reconstruction_in_the_Wild_CVPR_2020_paper,Weakly-Supervised Mesh-Convolutional Hand Reconstruction in the Wild,Dominik Kulon,,,,,
893,Wu_Cascade_EF-GAN_Progressive_Facial_Expression_Editing_With_Local_Focuses_CVPR_2020_paper,Cascade EF-GAN: Progressive Facial Expression Editing With Local Focuses,Rongliang Wu,,,,,
894,Corona_GanHand_Predicting_Human_Grasp_Affordances_in_Multi-Object_Scenes_CVPR_2020_paper,GanHand: Predicting Human Grasp Affordances in Multi-Object Scenes,Enric Corona,,,,,
895,Habermann_DeepCap_Monocular_Human_Performance_Capture_Using_Weak_Supervision_CVPR_2020_paper,DeepCap: Monocular Human Performance Capture Using Weak Supervision,Marc Habermann,,,,,
896,Li_Advancing_High_Fidelity_Identity_Swapping_for_Forgery_Detection_CVPR_2020_paper,Advancing High Fidelity Identity Swapping for Forgery Detection,Lingzhi Li,,,,,
897,Men_Controllable_Person_Image_Synthesis_With_Attribute-Decomposed_GAN_CVPR_2020_paper,Controllable Person Image Synthesis With Attribute-Decomposed GAN,Yifang Men,,,,,
898,Shen_Blurry_Video_Frame_Interpolation_CVPR_2020_paper,Blurry Video Frame Interpolation,Wang Shen,,,,,
899,Nestmeyer_Learning_Physics-Guided_Face_Relighting_Under_Directional_Light_CVPR_2020_paper,Learning Physics-Guided Face Relighting Under Directional Light,Thomas Nestmeyer,,,,,
900,Kim_Single_Image_Reflection_Removal_With_Physically-Based_Training_Images_CVPR_2020_paper,Single Image Reflection Removal With Physically-Based Training Images,Soomin Kim,,,,,
901,Neuberger_Image_Based_Virtual_Try-On_Network_From_Unpaired_Data_CVPR_2020_paper,Image Based Virtual Try-On Network From Unpaired Data,Assaf Neuberger,,,,,
902,Deng_RetinaFace_Single-Shot_Multi-Level_Face_Localisation_in_the_Wild_CVPR_2020_paper,RetinaFace: Single-Shot Multi-Level Face Localisation in the Wild,Jiankang Deng,,,,,
903,Aliakbarian_A_Stochastic_Conditioning_Scheme_for_Diverse_Human_Motion_Prediction_CVPR_2020_paper,A Stochastic Conditioning Scheme for Diverse Human Motion Prediction,Sadegh Aliakbarian,,,,,
904,Sanakoyeu_Transferring_Dense_Pose_to_Proximal_Animal_Classes_CVPR_2020_paper,Transferring Dense Pose to Proximal Animal Classes,Artsiom Sanakoyeu,,,,,
905,Iqbal_Weakly-Supervised_3D_Human_Pose_Learning_via_Multi-View_Images_in_the_CVPR_2020_paper,Weakly-Supervised 3D Human Pose Learning via Multi-View Images in the Wild,Umar Iqbal,,,,,
906,Wang_G3AN_Disentangling_Appearance_and_Motion_for_Video_Generation_CVPR_2020_paper,G3AN: Disentangling Appearance and Motion for Video Generation,Yaohui Wang,,,,,
907,Chen_Domain_Adaptive_Image-to-Image_Translation_CVPR_2020_paper,Domain Adaptive Image-to-Image Translation,Ying-Cong Chen,,,,,
908,Yang_TransMoMo_Invariance-Driven_Unsupervised_Video_Motion_Retargeting_CVPR_2020_paper,TransMoMo: Invariance-Driven Unsupervised Video Motion Retargeting,Zhuoqian Yang,,,,,
909,Zhang_FReeNet_Multi-Identity_Face_Reenactment_CVPR_2020_paper,FReeNet: Multi-Identity Face Reenactment,Jiangning Zhang,,,,,
910,Yoon_Novel_View_Synthesis_of_Dynamic_Scenes_With_Globally_Coherent_Depths_CVPR_2020_paper,Novel View Synthesis of Dynamic Scenes With Globally Coherent Depths From a Monocular Camera,Jae Shin Yoon,,,,,
911,Dorta_The_GAN_That_Warped_Semantic_Attribute_Editing_With_Unpaired_Data_CVPR_2020_paper,The GAN That Warped: Semantic Attribute Editing With Unpaired Data,Garoe Dorta,,,,,
912,Bansal_4D_Visualization_of_Dynamic_Events_From_Unconstrained_Multi-View_Videos_CVPR_2020_paper,4D Visualization of Dynamic Events From Unconstrained Multi-View Videos,Aayush Bansal,,,,,
913,Rematas_Neural_Voxel_Renderer_Learning_an_Accurate_and_Controllable_Rendering_Tool_CVPR_2020_paper,Neural Voxel Renderer: Learning an Accurate and Controllable Rendering Tool,Konstantinos Rematas,,,,,
914,Ye_Probabilistic_Structural_Latent_Representation_for_Unsupervised_Embedding_CVPR_2020_paper,Probabilistic Structural Latent Representation for Unsupervised Embedding,Mang Ye,,,,,
915,Zhang_Nested_Scale-Editing_for_Conditional_Image_Synthesis_CVPR_2020_paper,Nested Scale-Editing for Conditional Image Synthesis,Lingzhi Zhang,,,,,
916,Shi_Fast_Texture_Synthesis_via_Pseudo_Optimizer_CVPR_2020_paper,Fast Texture Synthesis via Pseudo Optimizer,Wu Shi,,,,,
917,Zhu_CookGAN_Causality_Based_Text-to-Image_Synthesis_CVPR_2020_paper,CookGAN: Causality Based Text-to-Image Synthesis,Bin Zhu,,,,,
918,Wu_Future_Video_Synthesis_With_Object_Motion_Prediction_CVPR_2020_paper,Future Video Synthesis With Object Motion Prediction,Yue Wu,,,,,
919,Le_A_Graduated_Filter_Method_for_Large_Scale_Robust_Estimation_CVPR_2020_paper,A Graduated Filter Method for Large Scale Robust Estimation,Huu Le,,,,,
920,Chen_A_Multi-Task_Mean_Teacher_for_Semi-Supervised_Shadow_Detection_CVPR_2020_paper,A Multi-Task Mean Teacher for Semi-Supervised Shadow Detection,Zhihao Chen,,,,,
921,Kim_GroupFace_Learning_Latent_Groups_and_Constructing_Group-Based_Representations_for_Face_CVPR_2020_paper,GroupFace: Learning Latent Groups and Constructing Group-Based Representations for Face Recognition,Yonghyun Kim,,,,,
922,Song_Channel_Attention_Based_Iterative_Residual_Learning_for_Depth_Map_Super-Resolution_CVPR_2020_paper,Channel Attention Based Iterative Residual Learning for Depth Map Super-Resolution,Xibin Song,,,,,
923,Cheng_Time_Flies_Animating_a_Still_Image_With_Time-Lapse_Video_As_CVPR_2020_paper,Time Flies: Animating a Still Image With Time-Lapse Video As Reference,Chia-Chi Cheng,,,,,
924,Terhorst_SER-FIQ_Unsupervised_Estimation_of_Face_Image_Quality_Based_on_Stochastic_CVPR_2020_paper,SER-FIQ: Unsupervised Estimation of Face Image Quality Based on Stochastic Embedding Robustness,Philipp Terhorst,,,,,
925,Xu_Grid-GCN_for_Fast_and_Scalable_Point_Cloud_Learning_CVPR_2020_paper,Grid-GCN for Fast and Scalable Point Cloud Learning,Qiangeng Xu,,,,,
926,Cao_Domain_Balancing_Face_Recognition_on_Long-Tailed_Domains_CVPR_2020_paper,Domain Balancing: Face Recognition on Long-Tailed Domains,Dong Cao,,,,,
927,Chang_Data_Uncertainty_Learning_in_Face_Recognition_CVPR_2020_paper,Data Uncertainty Learning in Face Recognition,Jie Chang,,,,,
928,Liu_Regularizing_Discriminative_Capability_of_CGANs_for_Semi-Supervised_Generative_Learning_CVPR_2020_paper,Regularizing Discriminative Capability of CGANs for Semi-Supervised Generative Learning,Yi Liu,,,,,
929,Wang_FM2u-Net_Face_Morphological_Multi-Branch_Network_for_Makeup-Invariant_Face_Verification_CVPR_2020_paper,FM2u-Net: Face Morphological Multi-Branch Network for Makeup-Invariant Face Verification,Wenxuan Wang,,,,,
930,Zhao_UCTGAN_Diverse_Image_Inpainting_Based_on_Unsupervised_Cross-Space_Translation_CVPR_2020_paper,UCTGAN: Diverse Image Inpainting Based on Unsupervised Cross-Space Translation,Lei Zhao,,,,,
931,Liu_Decoupled_Representation_Learning_for_Skeleton-Based_Gesture_Recognition_CVPR_2020_paper,Decoupled Representation Learning for Skeleton-Based Gesture Recognition,Jianbo Liu,,,,,
932,Dang_On_the_Detection_of_Digital_Face_Manipulation_CVPR_2020_paper,On the Detection of Digital Face Manipulation,Hao Dang,,,,,
933,Yang_Learning_Texture_Transformer_Network_for_Image_Super-Resolution_CVPR_2020_paper,Learning Texture Transformer Network for Image Super-Resolution,Fuzhi Yang,,,,,
934,Lee_Reference-Based_Sketch_Image_Colorization_Using_Augmented-Self_Reference_and_Dense_Semantic_CVPR_2020_paper,Reference-Based Sketch Image Colorization Using Augmented-Self Reference and Dense Semantic Correspondence,Junsoo Lee,,,,,
935,Kaufman_Deblurring_Using_Analysis-Synthesis_Networks_Pair_CVPR_2020_paper,Deblurring Using Analysis-Synthesis Networks Pair,Adam Kaufman,,,,,
936,Bahng_Exploring_Unlabeled_Faces_for_Novel_Attribute_Discovery_CVPR_2020_paper,Exploring Unlabeled Faces for Novel Attribute Discovery,Hyojin Bahng,,,,,
937,Xiong_Fine-Grained_Image-to-Image_Transformation_Towards_Visual_Recognition_CVPR_2020_paper,Fine-Grained Image-to-Image Transformation Towards Visual Recognition,Wei Xiong,,,,,
938,Bai_Deep_Facial_Non-Rigid_Multi-View_Stereo_CVPR_2020_paper,Deep Facial Non-Rigid Multi-View Stereo,Ziqian Bai,,,,,
939,Chandran_Attention-Driven_Cropping_for_Very_High_Resolution_Facial_Landmark_Detection_CVPR_2020_paper,Attention-Driven Cropping for Very High Resolution Facial Landmark Detection,Prashanth Chandran,,,,,
940,Liao_Towards_Unsupervised_Learning_of_Generative_Models_for_3D_Controllable_Image_CVPR_2020_paper,Towards Unsupervised Learning of Generative Models for 3D Controllable Image Synthesis,Yiyi Liao,,,,,
941,Qian_End-to-End_Pseudo-LiDAR_for_Image-Based_3D_Object_Detection_CVPR_2020_paper,End-to-End Pseudo-LiDAR for Image-Based 3D Object Detection,Rui Qian,,,,,
942,Zhou_Rotate-and-Render_Unsupervised_Photorealistic_Face_Rotation_From_Single-View_Images_CVPR_2020_paper,Rotate-and-Render: Unsupervised Photorealistic Face Rotation From Single-View Images,Hang Zhou,,,,,
943,Yang_One-Shot_Domain_Adaptation_for_Face_Generation_CVPR_2020_paper,One-Shot Domain Adaptation for Face Generation,Chao Yang,,,,,
944,Pang_BidNet_Binocular_Image_Dehazing_Without_Explicit_Disparity_Estimation_CVPR_2020_paper,BidNet: Binocular Image Dehazing Without Explicit Disparity Estimation,Yanwei Pang,,,,,
945,Fu_Joint_Texture_and_Geometry_Optimization_for_RGB-D_Reconstruction_CVPR_2020_paper,Joint Texture and Geometry Optimization for RGB-D Reconstruction,Yanping Fu,,,,,
946,Bi_Deep_3D_Capture_Geometry_and_Reflectance_From_Sparse_Multi-View_Images_CVPR_2020_paper,Deep 3D Capture: Geometry and Reflectance From Sparse Multi-View Images,Sai Bi,,,,,
947,Chen_Auto-Tuning_Structured_Light_by_Optical_Stochastic_Gradient_Descent_CVPR_2020_paper,Auto-Tuning Structured Light by Optical Stochastic Gradient Descent,Wenzheng Chen,,,,,
948,Xu_MARMVS_Matching_Ambiguity_Reduced_Multiple_View_Stereo_for_Efficient_Large_CVPR_2020_paper,MARMVS: Matching Ambiguity Reduced Multiple View Stereo for Efficient Large Scale Scene Reconstruction,Zhenyu Xu,,,,,
949,Jiang_Local_Implicit_Grid_Representations_for_3D_Scenes_CVPR_2020_paper,Local Implicit Grid Representations for 3D Scenes,"Chiyu ""Max"" Jiang",,,,,
950,Onizuka_TetraTSDF_3D_Human_Reconstruction_From_a_Single_Image_With_a_CVPR_2020_paper,TetraTSDF: 3D Human Reconstruction From a Single Image With a Tetrahedral Outer Shell,Hayato Onizuka,,,,,
951,Geifman_Averaging_Essential_and_Fundamental_Matrices_in_Collinear_Camera_Settings_CVPR_2020_paper,Averaging Essential and Fundamental Matrices in Collinear Camera Settings,Amnon Geifman,,,,,
952,Wilson_On_the_Distribution_of_Minima_in_Intrinsic-Metric_Rotation_Averaging_CVPR_2020_paper,On the Distribution of Minima in Intrinsic-Metric Rotation Averaging,Kyle Wilson,,,,,
953,Remelli_Lightweight_Multi-View_3D_Pose_Estimation_Through_Camera-Disentangled_Representation_CVPR_2020_paper,Lightweight Multi-View 3D Pose Estimation Through Camera-Disentangled Representation,Edoardo Remelli,,,,,
954,Kossaifi_Factorized_Higher-Order_CNNs_With_an_Application_to_Spatio-Temporal_Emotion_Estimation_CVPR_2020_paper,Factorized Higher-Order CNNs With an Application to Spatio-Temporal Emotion Estimation,Jean Kossaifi,,,,,
955,Ding_Robust_Homography_Estimation_via_Dual_Principal_Component_Pursuit_CVPR_2020_paper,Robust Homography Estimation via Dual Principal Component Pursuit,Tianjiao Ding,,,,,
956,Lee_Uncertainty-Aware_Mesh_Decoder_for_High_Fidelity_3D_Face_Reconstruction_CVPR_2020_paper,Uncertainty-Aware Mesh Decoder for High Fidelity 3D Face Reconstruction,Gun-Hee Lee,,,,,
957,Browatzki_3FabRec_Fast_Few-Shot_Face_Alignment_by_Reconstruction_CVPR_2020_paper,3FabRec: Fast Few-Shot Face Alignment by Reconstruction,Bjorn Browatzki,,,,,
958,Baek_Weakly-Supervised_Domain_Adaptation_via_GAN_and_Mesh_Model_for_Estimating_CVPR_2020_paper,Weakly-Supervised Domain Adaptation via GAN and Mesh Model for Estimating 3D Hand Poses Interacting Objects,Seungryul Baek,,,,,
959,Duong_Vec2Face_Unveil_Human_Faces_From_Their_Blackbox_Features_in_Face_CVPR_2020_paper,Vec2Face: Unveil Human Faces From Their Blackbox Features in Face Recognition,Chi Nhan Duong,,,,,
960,Tewari_StyleRig_Rigging_StyleGAN_for_3D_Control_Over_Portrait_Images_CVPR_2020_paper,StyleRig: Rigging StyleGAN for 3D Control Over Portrait Images,Ayush Tewari,,,,,
961,Kundu_Self-Supervised_3D_Human_Pose_Estimation_via_Part_Guided_Novel_Image_CVPR_2020_paper,Self-Supervised 3D Human Pose Estimation via Part Guided Novel Image Synthesis,Jogendra Nath Kundu,,,,,
962,Li_Cascaded_Deep_Monocular_3D_Human_Pose_Estimation_With_Evolutionary_Training_CVPR_2020_paper,Cascaded Deep Monocular 3D Human Pose Estimation With Evolutionary Training Data,Shichao Li,,,,,
